STATION,STATION_NAME,DATE,HPCP,ONGOING_FLOOD
COOP:135315,MCGREGOR IA US,19970623 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19970624 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19970624 21:00,0.1,0
COOP:135315,MCGREGOR IA US,19970630 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19970630 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970701 01:00,0,0
COOP:135315,MCGREGOR IA US,19970701 23:00,0.6,0
COOP:135315,MCGREGOR IA US,19970704 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19970708 00:00,0.1,0
COOP:135315,MCGREGOR IA US,19970708 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19970708 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19970708 03:00,0.2,0
COOP:135315,MCGREGOR IA US,19970708 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970713 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19970714 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19970714 02:00,0.1,0
COOP:135315,MCGREGOR IA US,19970717 06:00,0.2,0
COOP:135315,MCGREGOR IA US,19970717 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19970717 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19970718 12:00,0.2,0
COOP:135315,MCGREGOR IA US,19970719 12:00,0.8,0
COOP:135315,MCGREGOR IA US,19970719 13:00,0.2,0
COOP:135315,MCGREGOR IA US,19970719 14:00,0.5,0
COOP:135315,MCGREGOR IA US,19970720 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19970720 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19970721 15:00,0.8,0
COOP:135315,MCGREGOR IA US,19970721 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19970723 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19970725 09:00,0.3,0
COOP:135315,MCGREGOR IA US,19970726 13:00,1,0
COOP:135315,MCGREGOR IA US,19970727 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19970727 09:00,0.1,0
